date,barge_tonnes,rail_tonnes,road_tonnes,kaub_w_min_cm,kaub_days_below80_pct,total_demand_tonnes
2005-01-01,9146605,4205259,4108000,134.0,0.0,17459864
2005-02-01,8197456,4032717,3679000,126.0,0.0,15909173
2005-03-01,9155586,3825223,4303000,133.0,0.0,17283809
2005-04-01,8562133,4716102,4779000,215.0,0.0,18057235
2005-05-01,8871706,3900531,4148000,228.0,0.0,16920237
2005-06-01,8642338,4291899,4745000,152.0,0.0,17679237
2005-07-01,8472033,4371578,4488000,141.0,0.0,17331611
2005-08-01,8943921,4015118,4360000,142.0,0.0,17319039
2005-09-01,8947893,4011098,5026000,111.0,0.0,17984991
2005-10-01,8392521,4672726,4440000,83.0,0.0,17505247
2005-11-01,7695939,4817439,4694000,57.0,73.2,17207378
2005-12-01,8140868,4206119,4232000,57.0,19.1,16578987
2006-01-01,8141937,4234296,4349000,67.0,19.2,16725233
2006-02-01,7912553,4601772,4245000,55.0,46.6,16759325
2006-03-01,9984521,4988256,5450000,117.0,0.0,20422777
2006-04-01,8805175,3948623,4083000,319.0,0.0,16836798
2006-05-01,9267685,5150145,5381000,240.0,0.0,19798830
2006-06-01,9013659,4653390,4953000,213.0,0.0,18620049
2006-07-01,8603168,4744860,5264000,114.0,0.0,18612028
2006-08-01,9040424,4613102,5198000,118.0,0.0,18851526
2006-09-01,9562133,4182673,5343000,138.0,0.0,19087806
2006-10-01,9734691,5200741,5495000,127.0,0.0,20430432
2006-11-01,8574710,5394887,5607000,94.0,0.0,19576597
2006-12-01,8242540,4292307,4693000,98.0,0.0,17227847
2007-01-01,9153776,4964099,5119000,100.0,0.0,19236875
2007-02-01,8478020,4367732,4867000,164.0,0.0,17712752
2007-03-01,8912524,5927628,5902000,214.0,0.0,20742152
2007-04-01,8720695,4670947,5204000,133.0,0.0,18595642
2007-05-01,9020057,4755195,5284000,125.0,0.0,19059252
2007-06-01,8864623,5052739,5027000,234.0,0.0,18944362
2007-07-01,9308557,5414998,5750000,238.0,0.0,20473555
2007-08-01,9189536,4748659,5483000,203.0,0.0,19421195
2007-09-01,8579292,4754187,5652000,161.0,0.0,18985479
2007-10-01,9317494,5238144,6163000,93.0,0.0,20718638
2007-11-01,9125230,4966982,5711000,86.0,0.0,19803212
2007-12-01,8752534,4105544,4128000,142.0,0.0,16986078
2008-01-01,9451801,5515879,5439000,126.0,0.0,20406680
2008-02-01,8681678,5340105,5919000,123.0,0.0,19940783
2008-03-01,8835891,5146946,4795000,159.0,0.0,18777837
2008-04-01,9126628,5179400,4951000,265.0,0.0,19257028
2008-05-01,8830311,4822098,5618000,210.0,0.0,19270409
2008-06-01,8934248,5186086,5852000,202.0,0.0,19972334
2008-07-01,9063116,5237311,5713000,192.0,0.0,20013427
2008-08-01,8911506,4528950,5009000,166.0,0.0,18449456
2008-09-01,9286365,4758621,5403000,146.0,0.0,19447986
2008-10-01,9661845,4815257,5813000,111.0,0.0,20290102
2008-11-01,8908966,4586698,4560000,115.0,0.0,18055664
2008-12-01,7832529,3562070,3528000,143.0,0.0,14922599
2009-01-01,7151034,3519681,3933000,96.0,0.0,14603715
2009-02-01,7324716,3916701,4343000,111.0,0.0,15584417
2009-03-01,7148439,4355736,4250000,229.0,0.0,15754175
2009-04-01,6139108,3387277,4491000,204.0,0.0,14017385
2009-05-01,5854627,3226516,3583000,190.0,0.0,12664143
2009-06-01,6289976,3550473,4176000,193.0,0.0,14016449
2009-07-01,6979239,3379640,5443000,210.0,0.0,15801879
2009-08-01,6987390,2702604,4216000,125.0,0.0,13905994
2009-09-01,6986726,3878684,4478000,65.0,14.8,15343410
2009-10-01,7174286,4189399,4592000,52.0,33.5,15955685
2009-11-01,7883275,4301202,4601000,76.0,4.5,16785477
2009-12-01,7766489,3810730,3537000,157.0,0.0,15114219
2010-01-01,7798137,3963424,3709000,151.0,0.0,15470561
2010-02-01,7432824,4183009,4118000,137.0,0.0,15733833
